"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\ProductCard.jsx", "JavaScript JSX", 127, 0, 0, 7, 134
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\ProductViewModal.jsx", "JavaScript JSX", 114, 0, 0, 7, 121
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\SelectTextField.jsx", "JavaScript JSX", 45, 0, 0, 5, 50
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Sidebar.jsx", "JavaScript JSX", 48, 0, 0, 6, 54
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Skeleton.jsx", "JavaScript JSX", 68, 0, 0, 3, 71
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Spinners.jsx", "JavaScript JSX", 24, 0, 0, 3, 27
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Status.jsx", "JavaScript JSX", 11, 0, 0, 3, 14
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\hooks\useCategoryFilter.js", "JavaScript JSX", 17, 0, 0, 7, 24
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\hooks\useOrderFilter.js", "JavaScript JSX", 21, 0, 0, 9, 30
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\hooks\useProductFilter.js", "JavaScript JSX", 44, 0, 0, 17, 61
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\hooks\useSellerFilter.js", "JavaScript JSX", 20, 0, 0, 7, 27
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\index.css", "PostCSS", 0, 36, 8, 8, 52
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\main.jsx", "JavaScript JSX", 11, 0, 0, 2, 13
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\action\index.js", "JavaScript JSX", 606, 0, 3, 59, 668
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\ProductReducer.js", "JavaScript JSX", 37, 0, 0, 4, 41
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\adminReducer.js", "JavaScript JSX", 14, 0, 0, 3, 17
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\authReducer.js", "JavaScript JSX", 45, 0, 0, 2, 47
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\cartReducer.js", "JavaScript JSX", 57, 0, 0, 6, 63
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\errorReducer.js", "JavaScript JSX", 56, 0, 0, 4, 60
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\orderReducer.js", "JavaScript JSX", 23, 0, 0, 3, 26
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\paymentMethodReducer.js", "JavaScript JSX", 15, 0, 0, 3, 18
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\store\reducers\store.js", "JavaScript JSX", 34, 0, 0, 7, 41
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\utils\constant.js", "JavaScript JSX", 4, 0, 0, 2, 6
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\utils\formatPrice.js", "JavaScript JSX", 20, 0, 0, 3, 23
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\utils\index.js", "JavaScript JSX", 55, 0, 0, 3, 58
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\utils\truncateText.js", "JavaScript JSX", 6, 0, 0, 1, 7
"Total", "-", 5457, 36, 156, 571, 6220
